qname,retries-left,model,num-triples,test,num-predicates,num-known-predicates
d3f:Deceive,3,gpt-3.5-turbo,12,zero-shot,5,5
d3f:Detect,0,gpt-3.5-turbo,0,zero-shot,0,0
d3f:Evict,3,gpt-3.5-turbo,10,zero-shot,5,5
d3f:Isolate,3,gpt-3.5-turbo,10,zero-shot,6,6
d3f:Harden,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:Model,3,gpt-3.5-turbo,4,zero-shot,4,4
d3f:CredentialEviction,0,gpt-3.5-turbo,0,zero-shot,0,0
d3f:ExecutionIsolation,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:CredentialHardening,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:DecoyObject,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:ProcessEviction,3,gpt-3.5-turbo,24,zero-shot,6,6
d3f:ApplicationHardening,3,gpt-3.5-turbo,18,zero-shot,6,6
d3f:PlatformHardening,3,gpt-3.5-turbo,6,zero-shot,6,6
d3f:UserBehaviorAnalysis,3,gpt-3.5-turbo,4,zero-shot,4,4
d3f:NetworkIsolation,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:FileAnalysis,3,gpt-3.5-turbo,9,zero-shot,5,5
d3f:FileEviction,3,gpt-3.5-turbo,7,zero-shot,4,4
d3f:IdentifierAnalysis,3,gpt-3.5-turbo,3,zero-shot,3,3
d3f:NetworkTrafficAnalysis,3,gpt-3.5-turbo,6,zero-shot,6,6
d3f:MessageAnalysis,3,gpt-3.5-turbo,36,zero-shot,4,4
d3f:OperationalActivityMapping,3,gpt-3.5-turbo,1,zero-shot,1,1
d3f:DecoyEnvironment,3,gpt-3.5-turbo,8,zero-shot,4,4
d3f:OperatingSystemMonitoring,3,gpt-3.5-turbo,3,zero-shot,3,3
d3f:PlatformMonitoring,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:NetworkMapping,0,gpt-3.5-turbo,0,zero-shot,0,0
d3f:ProcessAnalysis,3,gpt-3.5-turbo,20,zero-shot,5,5
d3f:AssetInventory,3,gpt-3.5-turbo,18,zero-shot,4,4
d3f:MessageHardening,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:SystemMapping,3,gpt-3.5-turbo,4,zero-shot,4,4
d3f:URLAnalysis,3,gpt-3.5-turbo,3,zero-shot,3,3
d3f:FileHashing,0,gpt-3.5-turbo,0,zero-shot,0,0
d3f:AssetVulnerabilityEnumeration,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:UserGeolocationLogonPatternAnalysis,3,gpt-3.5-turbo,16,zero-shot,4,4
d3f:ForwardResolutionIPDenylisting,3,gpt-3.5-turbo,27,zero-shot,6,6
d3f:RFShielding,3,gpt-3.5-turbo,45,zero-shot,4,4
d3f:AccessModeling,3,gpt-3.5-turbo,12,zero-shot,8,7
d3f:DecoyUserCredential,3,gpt-3.5-turbo,4,zero-shot,4,4
d3f:LocalAccountMonitoring,3,gpt-3.5-turbo,20,zero-shot,5,5
d3f:IOPortRestriction,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:AuthenticationEventThresholding,3,gpt-3.5-turbo,6,zero-shot,6,6
d3f:FileCreationAnalysis,3,gpt-3.5-turbo,12,zero-shot,4,4
d3f:InboundSessionVolumeAnalysis,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:ExceptionHandlerPointerValidation,0,gpt-3.5-turbo,0,zero-shot,0,0
d3f:ProtocolMetadataAnomalyDetection,3,gpt-3.5-turbo,14,zero-shot,5,5
d3f:ProcessSegmentExecutionPrevention,3,gpt-3.5-turbo,27,zero-shot,4,4
d3f:DomainNameReputationAnalysis,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:SystemInitConfigAnalysis,3,gpt-3.5-turbo,12,zero-shot,6,6
d3f:SystemDaemonMonitoring,3,gpt-3.5-turbo,13,zero-shot,6,6
d3f:DecoySessionToken,3,gpt-3.5-turbo,12,zero-shot,4,4
d3f:ActivePhysicalLinkMapping,3,gpt-3.5-turbo,16,zero-shot,4,4
d3f:ScheduledJobAnalysis,3,gpt-3.5-turbo,4,zero-shot,4,4
d3f:SessionDurationAnalysis,3,gpt-3.5-turbo,16,zero-shot,5,4
d3f:MicrosoftVCCLCompilerToolBufferSecurityCheck,3,gpt-3.5-turbo,6,zero-shot,6,6
d3f:SystemConfigurationPermissions,3,gpt-3.5-turbo,4,zero-shot,4,4
d3f:SoftwareInventory,3,gpt-3.5-turbo,23,zero-shot,8,8
d3f:AuthenticationCacheInvalidation,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:DriverLoadIntegrityChecking,3,gpt-3.5-turbo,5,zero-shot,5,5
d3f:FirmwareBehaviorAnalysis,3,gpt-3.5-turbo,5,zero-shot,4,4
d3f:EndpointHealthBeacon,3,gpt-3.5-turbo,20,zero-shot,4,4
d3f:ServiceDependencyMapping,3,gpt-3.5-turbo,13,zero-shot,4,4
